5.5984002312e-17	-1.3823457576e-26	-2.0527019561e-16	-3.0790529321e-16	-9.3329068315e-18	-1.1196800457e-16	-1.5861910007e-16	-4.6651095550e-17	-1.1196800447e-16	-5.5984002319e-17	-2.0527019552e-16	-1.5861909995e-16	1.0263509771e-16	-1.8665813543e-17	-4.6651095478e-17	1.1196800448e-16
2.8439873151e-16	2.9559553159e-16	-7.9646125935e-16	-7.5129859042e-16	-3.0492843866e-16	-4.0756353647e-16	-4.5421463193e-16	-1.2726805912e-16	-4.0756353592e-16	-3.5157953437e-16	-4.2024876379e-16	-3.8703382859e-16	1.6981589995e-16	-2.3364438194e-16	1.8176363384e-16	3.2694657275e-16
1.6832090379e-16	-7.1979437544e-17	-1.9766099259e-15	-1.5832137747e-15	-5.1774260685e-16	-1.4909758621e-15	-3.3813680464e-16	1.0488759411e-16	-1.0460060382e-15	-7.7720787074e-16	-2.8482944959e-16	-4.8377016763e-16	8.0825840300e-16	9.5247614357e-17	7.0412831112e-16	9.6538907594e-16
1.6832090211e-16	6.7288969097e-17	-3.3412964691e-15	-2.9479003165e-15	-1.2697200875e-15	-3.8581791401e-15	5.8092679573e-16	1.1910373150e-15	-2.9119509468e-15	-2.5038843745e-15	3.5569733144e-16	-1.0329506466e-17	1.6995042885e-15	2.3451602731e-16	1.1775689683e-15	2.2186249194e-15
4.0887516110e-16	1.4305127024e-15	-5.5866354254e-15	-5.5942459611e-15	-1.7107777038e-15	-8.5493604035e-15	9.8193348085e-16	2.9552677414e-15	-6.2399084596e-15	-5.1502300299e-15	1.2378125536e-15	-1.0329498396e-17	2.3410652307e-15	2.3451603048e-16	1.8191299278e-15	3.7022501670e-15
9.8599043856e-16	2.7003727794e-15	-9.1076581136e-15	-9.4038262791e-15	-2.9806378471e-15	-1.5475776237e-14	1.6746782915e-15	5.4949879384e-15	-1.1607906522e-14	-7.9785079004e-15	3.2004175012e-15	-6.4525953847e-16	3.6687400909e-15	5.8088845027e-16	4.3364027246e-16	3.9908077821e-15
7.1730932758e-17	3.1990596554e-15	-1.3678955421e-14	-1.5388070008e-14	-5.7234163234e-15	-2.8275408717e-14	2.5058232137e-15	9.1520257278e-15	-1.7509035679e-14	-9.3083398349e-15	7.8548293389e-15	-1.5595189613e-15	6.3284039446e-15	3.2405523818e-15	-8.1307715344e-16	3.5752352403e-15
-1.8427813895e-15	3.1990594154e-15	-2.0977058223e-14	-2.4600684948e-14	-1.2423094963e-14	-4.1796233267e-14	3.1042474845e-15	1.0947298621e-14	-2.6840889622e-14	-7.9922519594e-15	1.4554507762e-14	-5.5077824716e-15	7.0460672945e-15	3.7197376270e-15	-8.1307705501e-16	4.2928986636e-15
-4.4244434518e-15	1.3067654742e-15	-2.8546231807e-14	-3.3890966201e-14	-2.0852822848e-14	-5.1086514275e-14	4.8253552664e-15	1.2839591688e-14	-3.9915757540e-14	-9.7133600499e-15	2.5565897184e-14	-6.5395215782e-15	6.8748815461e-15	4.5802916580e-15	-1.6736308568e-15	2.2294195487e-15
-5.9090217621e-15	-7.3548813022e-15	-4.6124986182e-14	-3.7853053569e-14	-3.3230734045e-14	-7.0149846036e-14	6.3099329744e-15	1.2839591095e-14	-5.0563266002e-14	-1.1197938487e-14	3.3490073036e-14	-6.5395208987e-15	7.1207040881e-15	3.5873596235e-15	-1.8905235917e-16	-2.4809094030e-16
