7.3293758678e-15	1.8716999914e-14	1.4295099028e-15	-1.3336286113e-17
-6.7921316630e-15	-1.7109032284e-14	-9.4147148953e-16	1.2318897256e-15
-2.2719173393e-14	-5.4287934584e-14	9.0964879313e-15	-3.0950141356e-15
1.0017739078e-14	2.5363222116e-14	4.2771324778e-16	-1.8873822780e-15
5.2874624369e-15	1.2357043118e-14	-4.2561218555e-15	3.2256337045e-15
-3.8792131187e-14	-9.6312505200e-14	-2.7958449711e-15	3.5535026976e-15
-6.5889423939e-15	-1.4191623791e-14	1.0728800229e-14	4.6916278333e-16
1.6368192071e-14	4.0932226469e-14	7.6775072346e-15	1.9423836254e-15
-3.5150293587e-14	-8.8652913712e-14	-1.6056495993e-15	-1.4963554013e-15
6.1617997814e-15	1.5321238313e-14	1.4512994750e-15	9.6638179079e-16
6.9655190205e-15	1.6942527781e-14	-9.9946396118e-16	2.7148864738e-16
-1.2171071950e-15	-2.9302927093e-15	-1.7174343079e-15	-1.5418216414e-15
-1.5712877642e-14	-3.7623518208e-14	6.7536104107e-15	1.8655901476e-16
1.6290871416e-14	4.0694394553e-14	2.0434048824e-15	-2.2892306898e-15
-7.5861088316e-15	-1.8715155146e-14	-1.9461497642e-15	-2.9699223867e-15
-2.1733655070e-15	-5.6584003427e-15	-7.6477511416e-15	-3.3099381931e-15
